"Statistic Label","Year","Sex","Type of Procedure","Area","UNIT","VALUE"
"Average Length of Stay","2020","Both sexes","Procedures on eye & adnexa","Co. Mayo","Rate","2.5"
"Average Length of Stay","2020","Both sexes","Procedures on eye & adnexa","Co. Offaly","Rate","1.79"
"Average Length of Stay","2020","Both sexes","Procedures on eye & adnexa","Co. Roscommon","Rate","3.95"
"Average Length of Stay","2020","Both sexes","Procedures on eye & adnexa","Co. Sligo","Rate","2.99"
"Average Length of Stay","2020","Both sexes","Procedures on eye & adnexa","Co. Tipperary","Rate","1.57"
"Average Length of Stay","2020","Both sexes","Procedures on eye & adnexa","Co. Waterford","Rate","3.87"
"Average Length of Stay","2020","Both sexes","Procedures on eye & adnexa","Co. Wicklow","Rate","3.33"
"Average Length of Stay","2020","Both sexes","Procedures on eye & adnexa","Co. Westmeath","Rate","2.26"
"Average Length of Stay","2020","Both sexes","Procedures on eye & adnexa","Co. Wexford","Rate","2.71"
"Average Length of Stay","2020","Both sexes","Procedures on eye & adnexa","Non-residents","Rate",""
"Average Length of Stay","2020","Both sexes","Procedures on eye & adnexa","Ireland plus non-residents","Rate","3"
"Average Length of Stay","2020","Both sexes","Procedures on eye & adnexa","Ireland","Rate","3"
"Average Length of Stay","2020","Both sexes","Cataract surgery","Co. Clare","Rate","1.22"
"Average Length of Stay","2020","Both sexes","Cataract surgery","Co. Cork","Rate","1.71"
"Average Length of Stay","2020","Both sexes","Cataract surgery","Co. Cavan","Rate","0"
"Average Length of Stay","2020","Both sexes","Cataract surgery","Co. Carlow","Rate",""
"Average Length of Stay","2020","Both sexes","Cataract surgery","Co. Donegal","Rate","1.71"
"Average Length of Stay","2020","Both sexes","Cataract surgery","Co. Dublin","Rate","2.97"
"Average Length of Stay","2020","Both sexes","Cataract surgery","Co. Galway","Rate","2.08"
"Average Length of Stay","2020","Both sexes","Cataract surgery","Co. Kildare","Rate","1.54"
"Average Length of Stay","2020","Both sexes","Cataract surgery","Co. Kilkenny","Rate","0"
"Average Length of Stay","2020","Both sexes","Cataract surgery","Co. Kerry","Rate","1.18"
"Average Length of Stay","2020","Both sexes","Cataract surgery","Co. Longford","Rate",""
"Average Length of Stay","2020","Both sexes","Cataract surgery","Co. Louth","Rate","2.36"
"Average Length of Stay","2020","Both sexes","Cataract surgery","Co. Limerick","Rate","1.78"
"Average Length of Stay","2020","Both sexes","Cataract surgery","Co. Leitrim","Rate",""
"Average Length of Stay","2020","Both sexes","Cataract surgery","Co. Laois","Rate",""
"Average Length of Stay","2020","Both sexes","Cataract surgery","Co. Meath","Rate",""
"Average Length of Stay","2020","Both sexes","Cataract surgery","Co. Monaghan","Rate",""
"Average Length of Stay","2020","Both sexes","Cataract surgery","Co. Mayo","Rate","1"
"Average Length of Stay","2020","Both sexes","Cataract surgery","Co. Offaly","Rate",""
"Average Length of Stay","2020","Both sexes","Cataract surgery","Co. Roscommon","Rate","5"
"Average Length of Stay","2020","Both sexes","Cataract surgery","Co. Sligo","Rate",""
"Average Length of Stay","2020","Both sexes","Cataract surgery","Co. Tipperary","Rate","1.36"
"Average Length of Stay","2020","Both sexes","Cataract surgery","Co. Waterford","Rate","4.67"
"Average Length of Stay","2020","Both sexes","Cataract surgery","Co. Wicklow","Rate","2"
"Average Length of Stay","2020","Both sexes","Cataract surgery","Co. Westmeath","Rate","1.2"
"Average Length of Stay","2020","Both sexes","Cataract surgery","Co. Wexford","Rate",""
"Average Length of Stay","2020","Both sexes","Cataract surgery","Non-residents","Rate","0"
"Average Length of Stay","2020","Both sexes","Cataract surgery","Ireland plus non-residents","Rate","2.38"
"Average Length of Stay","2020","Both sexes","Cataract surgery","Ireland","Rate","2.38"
